Distance_(mm),Gray_Value
0.00000,5318.00000
0.02679,5256.61328
0.05357,5380.77930
0.08036,5514.05664
0.10714,5566.15234
0.13393,5602.21875
0.16071,5589.08643
0.18750,5529.85791
0.21429,5467.08252
0.24107,5559.96777
0.26786,5602.26123
0.29464,5561.29004
0.32143,5524.95898
0.34821,5413.93652
0.37500,5464.32520
0.40179,5571.72949
0.42857,5581.29932
0.45536,5561.68164
0.48214,5519.32471
0.50893,5445.39746
0.53571,5416.90967
0.56250,5433.33594
0.58929,5438.12256
0.61607,5423.09229
0.64286,5414.43652
0.66964,5379.43408
0.69643,5375.60449
0.72321,5402.74512
0.75000,5504.07666
0.77679,5638.19141
0.80357,5698.71338
0.83036,5630.19873
0.85714,5547.94873
0.88393,5536.53027
0.91071,5573.18115
0.93750,5575.46240
0.96429,5536.82324
0.99107,5740.04199
1.01786,7061.72266
1.04464,10109.64746
1.07143,12846.78223
1.09821,13711.87500
1.12500,13912.73340
1.15179,13972.23535
1.17857,13978.30859
1.20536,13893.74121
1.23214,13749.93359
1.25893,13688.62012
1.28571,13646.75586
1.31250,13623.01660
1.33929,13680.75391
1.36607,13774.24219
1.39286,13812.45996
1.41964,13807.94824
1.44643,13809.16406
1.47321,13682.42285
1.50000,13686.15918
1.52679,13833.83008
1.55357,13808.39746
1.58036,13704.00977
1.60714,13592.86035
1.63393,13559.71973
1.66071,13575.95703
1.68750,13622.26172
1.71429,13648.19238
1.74107,13598.27246
1.76786,13518.38281
1.79464,13471.51758
1.82143,13508.29883
1.84821,13580.39844
1.87500,13534.86035
1.90179,13476.94824
1.92857,13509.58984
1.95536,13532.98926
1.98214,13494.43848
2.00893,13471.97070
2.03571,13476.45605
2.06250,13490.92871
2.08929,13449.52246
2.11607,13293.02930
2.14286,13212.44238
2.16964,13294.64355
2.19643,13421.25000
