Radius_[mm],Normalized_Integrated_Intensity
0.03571,-0.09219
0.07143,-0.04679
0.10714,-0.02332
0.14286,-0.00042
0.17857,0.03237
0.21429,0.02492
0.25000,0.02221
0.28571,-0.00139
0.32143,0.01507
0.35714,0.00577
0.39286,-0.02552
0.42857,-0.02604
0.46429,0.00692
0.50000,0.01751
0.53571,0.01756
0.57143,0.02072
0.60714,0.01399
0.64286,-0.00780
0.67857,-0.00490
0.71429,-0.01315
0.75000,-0.01905
0.78571,-0.00483
0.82143,-0.00519
0.85714,0.00485
0.89286,0.00165
0.92857,0.00658
0.96429,0.02352
1.00000,0.00826
1.03571,0.00016
1.07143,-0.00120
1.10714,-0.00627
1.14286,0.00547
1.17857,0.01697
1.21429,0.00366
1.25000,0.00090
1.28571,0.00366
1.32143,0.00175
1.35714,-0.00348
1.39286,-0.00458
1.42857,0.00980
1.46429,0.00348
1.50000,-0.00198
1.53571,-0.00238
1.57143,0.00434
1.60714,0.00915
1.64286,0.00224
1.67857,0.00185
1.71429,-0.00301
1.75000,0.00215
1.78571,0.00178
1.82143,0.00407
1.85714,-0.01531
1.89286,-0.01646
1.92857,0.00017
1.96429,-0.00212
2.00000,-0.00346
2.03571,-0.00050
2.07143,0.00024
2.10714,-0.00375
2.14286,-0.01348
2.17857,-0.00722
2.21429,0.00931
2.25000,0.00579
2.28571,0.00276
2.32143,-0.00391
2.35714,-0.00874
2.39286,0.00016
2.42857,0.00472
2.46429,0.00744
2.50000,0.00510
2.53571,0.00836
2.57143,-0.00494
2.60714,-0.00633
2.64286,-0.00411
2.67857,-0.00567
2.71429,-0.01467
2.75000,-0.00284
2.78571,0.00802
2.82143,0.00986
2.85714,0.00192
2.89286,-0.01347
2.92857,-0.00813
2.96429,0.00094
3.00000,-0.00551
3.03571,-0.01476
3.07143,-0.01523
3.10714,-0.01316
3.14286,-0.00512
3.17857,-0.00496
3.21429,-0.01576
3.25000,-0.01963
3.28571,-0.01995
3.32143,-0.01477
3.35714,-0.01224
3.39286,-0.01599
3.42857,-0.02224
3.46429,-0.03713
3.50000,-0.05009
3.53571,-0.07166
3.57143,-0.11216
3.60714,-0.26419
3.64286,-0.47622
3.67857,-0.28203
3.71429,0.68551
3.75000,0.89546
3.78571,0.30213
3.82143,0.06749
3.85714,0.03278
3.89286,0.02824
3.92857,0.02460
3.96429,0.02063
4.00000,0.00534
4.03571,0.00423
4.07143,0.00586
4.10714,0.00552
4.14286,0.00556
4.17857,0.00915
4.21429,0.00727
4.25000,0.00900
4.28571,0.00539
4.32143,0.00656
4.35714,0.00417
4.39286,-0.00271
4.42857,0.00997
4.46429,0.01564
4.50000,0.00553
4.53571,0.00256
4.57143,0.00095
4.60714,0.00678
4.64286,0.00431
4.67857,0.00428
4.71429,0.01077
4.75000,0.00311
4.78571,0.00126
4.82143,0.00949
4.85714,0.00566
4.89286,-0.00304
4.92857,-0.00305
4.96429,0.00487
5.00000,0.01066
5.03571,0.00841
5.07143,0.00557
5.10714,0.00776
5.14286,0.00395
5.17857,0.01093
5.21429,0.00779
5.25000,0.00311
5.28571,0.01111
5.32143,0.01076
5.35714,0.00720
